OBJECTID,x,y
279,114.5,31.5
280,115.5,31.5
281,116.5,31.5
282,117.5,31.5
283,118.5,31.5
284,119.5,31.5
285,120.5,31.5
286,121.5,31.5
287,78.5,32.5
288,79.5,32.5
289,80.5,32.5
290,81.5,32.5
291,82.5,32.5
292,83.5,32.5
293,84.5,32.5
294,85.5,32.5
295,86.5,32.5
296,87.5,32.5
297,88.5,32.5
298,89.5,32.5
299,90.5,32.5
300,91.5,32.5
301,92.5,32.5
302,93.5,32.5
303,94.5,32.5
304,95.5,32.5
305,96.5,32.5
306,97.5,32.5
307,98.5,32.5
308,99.5,32.5
309,100.5,32.5
310,101.5,32.5
311,102.5,32.5
312,103.5,32.5
313,104.5,32.5
314,105.5,32.5
315,106.5,32.5
316,107.5,32.5
317,108.5,32.5
318,109.5,32.5
319,110.5,32.5
320,111.5,32.5
321,112.5,32.5
322,113.5,32.5
323,114.5,32.5
324,115.5,32.5
325,116.5,32.5
326,117.5,32.5
327,118.5,32.5
328,119.5,32.5
329,120.5,32.5
330,79.5,33.5
331,80.5,33.5
332,81.5,33.5
333,82.5,33.5
334,83.5,33.5
335,84.5,33.5
336,85.5,33.5
337,86.5,33.5
338,87.5,33.5
339,88.5,33.5
340,89.5,33.5
341,90.5,33.5
342,91.5,33.5
343,92.5,33.5
344,93.5,33.5
345,94.5,33.5
346,95.5,33.5
347,96.5,33.5
348,97.5,33.5
349,98.5,33.5
350,99.5,33.5
351,100.5,33.5
352,101.5,33.5
353,102.5,33.5
354,103.5,33.5
355,104.5,33.5
356,105.5,33.5
357,106.5,33.5
358,107.5,33.5
359,108.5,33.5
360,109.5,33.5
361,110.5,33.5
362,111.5,33.5
363,112.5,33.5
364,113.5,33.5
365,114.5,33.5
366,115.5,33.5
367,116.5,33.5
368,117.5,33.5
369,118.5,33.5
370,119.5,33.5
371,120.5,33.5
372,79.5,34.5
373,80.5,34.5
374,81.5,34.5
375,82.5,34.5
376,83.5,34.5
377,84.5,34.5
378,85.5,34.5
379,86.5,34.5
380,87.5,34.5
381,88.5,34.5
382,89.5,34.5
383,90.5,34.5
384,91.5,34.5
385,92.5,34.5
386,93.5,34.5
387,94.5,34.5
388,95.5,34.5
389,96.5,34.5
390,97.5,34.5
391,98.5,34.5
392,99.5,34.5
393,100.5,34.5
394,101.5,34.5
395,102.5,34.5
396,103.5,34.5
397,104.5,34.5
398,105.5,34.5
399,106.5,34.5
400,107.5,34.5
401,108.5,34.5
402,109.5,34.5
403,110.5,34.5
