29.5,94.5,4.80,6.00
29.5,95.5,4.37,5.90
29.5,96.5,4.53,6.01
29.5,97.5,4.84,6.11
29.5,98.5,5.10,5.28
29.5,99.5,5.09,4.44
29.5,100.5,4.98,3.89
29.5,101.5,4.81,3.62
29.5,102.5,3.74,3.36
29.5,103.5,3.10,3.29
29.5,104.5,3.15,3.21
29.5,105.5,3.14,3.17
29.5,106.5,3.06,3.15
29.5,107.5,3.00,3.14
29.5,108.5,2.97,3.02
29.5,109.5,3.01,2.90
29.5,110.5,3.10,2.80
29.5,111.5,3.24,2.73
29.5,112.5,3.44,2.66
29.5,113.5,3.45,3.04
29.5,114.5,3.46,3.42
29.5,115.5,3.49,3.53
29.5,116.5,3.60,3.37
29.5,117.5,3.60,3.21
29.5,118.5,3.54,3.58
29.5,119.5,3.56,3.94
29.5,120.5,3.61,4.66
30.5,80.5,4.81,5.54
30.5,81.5,5.26,5.99
30.5,82.5,5.50,6.45
30.5,83.5,5.80,6.33
30.5,84.5,5.75,6.21
30.5,85.5,5.91,6.16
30.5,86.5,5.69,6.17
30.5,87.5,5.65,6.18
30.5,88.5,5.44,6.22
30.5,89.5,5.43,6.27
30.5,90.5,5.18,6.36
30.5,91.5,5.04,6.50
30.5,92.5,4.97,6.64
30.5,93.5,4.85,6.74
30.5,94.5,4.56,6.83
30.5,95.5,4.64,6.92
30.5,96.5,4.84,7.01
30.5,97.5,4.90,7.11
30.5,98.5,5.05,6.15
30.5,99.5,4.85,5.19
30.5,100.5,4.82,4.58
30.5,101.5,4.74,4.33
30.5,102.5,4.26,4.07
30.5,103.5,3.26,4.05
30.5,104.5,3.18,4.02
30.5,105.5,3.21,3.83
30.5,106.5,3.12,3.49
30.5,107.5,3.06,3.16
30.5,108.5,3.19,3.07
30.5,109.5,3.20,2.98
30.5,110.5,3.34,2.86
30.5,111.5,3.35,2.71
30.5,112.5,3.54,2.56
30.5,113.5,3.62,2.95
30.5,114.5,3.67,3.33
30.5,115.5,3.66,3.51
30.5,116.5,3.63,3.48
30.5,117.5,3.66,3.46
30.5,118.5,3.61,3.74
30.5,119.5,3.63,4.03
30.5,120.5,3.69,4.66
31.5,79.5,5.07,6.26
31.5,80.5,5.69,6.25
31.5,81.5,5.66,6.28
31.5,82.5,5.80,6.31
31.5,83.5,5.77,6.23
31.5,84.5,5.84,6.15
31.5,85.5,5.72,6.10
31.5,86.5,5.56,6.07
