lon,lat,sol,win
116.85,38.32,4.33,3.4
116.87,38.3,4.33,3.4
116.82,38.58,4.33,3.4
116.53,37.88,4.32,3.27
117.48,38.13,4.32,3.3
117.22,38.05,4.32,3.3
115.83,38.43,4.32,3.51
116.7,38.03,4.33,3.4
116.38,37.62,4.32,3.27
116.12,38.18,4.33,3.4
117.1,38.07,4.32,3.3
116.57,38.07,4.33,3.4
116.1,38.72,4.33,3.4
117.35,38.37,4.32,3.3
116.08,38.43,4.33,3.4
116.7,39.52,4.32,3.61
116.68,39.52,4.32,3.61
116.72,39.53,4.32,3.61
116.3,39.43,4.32,3.61
116.5,39.32,4.32,3.61
117,39.77,4.36,3.52
116.63,38.7,4.33,3.4
116.47,38.87,4.33,3.4
116.98,39.88,4.32,3.61
116.4,39.1,4.32,3.61
117.07,39.98,4.36,3.52
115.68,37.73,4.3,3.33
115.68,37.73,4.3,3.33
115.72,37.52,4.3,3.33
115.88,37.82,4.3,3.33
115.98,38.03,4.32,3.51
115.73,38.23,4.32,3.51
115.52,38.23,4.32,3.51
115.97,37.35,4.3,3.33
116.27,37.7,4.32,3.27
116.15,37.87,4.32,3.27
115.57,37.57,4.3,3.33
115.55,38.02,4.32,3.51
112.55,37.87,4.46,3.41
112.57,37.73,4.46,3.41
112.57,37.87,4.46,3.41
112.57,37.88,4.46,3.41
112.48,37.93,4.46,3.41
112.52,37.87,4.46,3.41
112.48,37.73,4.46,3.41
112.35,37.6,4.46,3.41
112.67,38.07,4.45,3.61
111.78,38.07,4.54,4.24
112.17,37.92,4.46,3.41
113.3,40.08,4.55,4.52
113.28,40.08,4.55,4.52
113.6,37.85,4.41,3.39
113.12,36.22,4.33,3.15
112.83,35.5,4.18,2.87
113.17,40.03,4.55,4.52
113.57,37.87,4.41,3.39
113.13,40,4.55,4.52
113.15,40.27,4.55,4.52
113.75,40.37,4.55,4.52
114.08,40.42,4.53,4.58
114.28,39.77,4.41,3.75
114.23,39.43,4.41,3.75
113.68,39.7,4.49,3.74
112.7,40,4.55,4.45
113.6,40.03,4.55,4.52
113.57,37.85,4.41,3.39
113.28,40.08,4.55,4.52
113.6,37.85,4.41,3.39
113.12,36.22,4.33,3.15
112.83,35.5,4.18,2.87
113.17,40.03,4.55,4.52
